,state_name,county,city,hour_of_crash,day_of_crash,month_of_crash,light_condition_name,atmospheric_conditions_1_name,number_of_fatalities,number_of_drunk_drivers,timestamp_of_crash,national_highway_system,latitude,longitude
29369,Washington,63,2110,1,7,10,Dark – Lighted,Clear,1,1,2015-10-07 01:38:00+00:00,0,47.66435,-117.43566667
29370,Tennessee,85,2530,99,9,1,Dark – Not Lighted,Clear,1,1,2015-01-09 00:00:00+00:00,0,36.08663889,-87.81373889
29371,Texas,285,7630,20,2,2,Dark – Not Lighted,Clear,2,0,2015-02-02 20:03:00+00:00,0,29.30268333,-97.14183333
29372,Iowa,123,0,19,7,4,Daylight,Clear,1,1,2015-04-07 19:00:00+00:00,0,41.22460833,-92.439325
29373,Kansas,113,0,11,31,7,Daylight,Clear,1,1,2015-07-31 11:34:00+00:00,0,38.44106389,-97.83245556
29374,Oklahoma,109,3550,23,27,11,Dark – Not Lighted,Rain,1,1,2015-11-27 23:24:00+00:00,0,35.53664167,-97.37375556
29375,Maine,31,4405,3,30,5,Dark – Not Lighted,"Fog, Smog, Smoke",1,1,2015-05-30 03:40:00+00:00,0,43.77849444,-70.72747778
29376,Wisconsin,79,3100,17,18,2,Dark – Lighted,Clear,1,0,2015-02-18 17:50:00+00:00,1,43.03125278,-87.94765278
29377,North Carolina,183,3750,3,9,2,Dark – Lighted,Clear,1,1,2015-02-09 03:30:00+00:00,0,35.86455278,-78.59693611
29378,Texas,113,1730,5,26,9,Dark – Not Lighted,Clear,1,1,2015-09-26 05:38:00+00:00,0,32.74548889,-96.97895833
29379,Texas,29,6090,5,28,6,Dark – Lighted,Clear,2,0,2015-06-28 05:20:00+00:00,0,29.33395278,-98.45342778
29380,North Carolina,119,870,0,14,6,Dark – Not Lighted,Clear,1,1,2015-06-14 00:24:00+00:00,0,35.21453056,-80.92324722
29381,Montana,3,0,5,12,8,Dawn,Clear,1,1,2015-08-12 05:50:00+00:00,0,45.31523056,-107.3685
29382,Florida,97,0,0,14,3,Dark – Lighted,Clear,1,1,2015-03-14 00:40:00+00:00,0,28.33556944,-81.33028889
29383,Georgia,135,3990,3,7,2,Dark – Lighted,Clear,1,1,2015-02-07 03:07:00+00:00,0,33.92559444,-84.18579722
29384,California,71,260,10,8,10,Daylight,Clear,1,1,2015-10-08 10:25:00+00:00,0,34.90532778,-117.02456389
29385,California,73,3260,0,3,1,Dark – Lighted,Clear,1,1,2015-01-03 00:25:00+00:00,0,32.742625,-117.25468889
29386,North Carolina,175,0,14,5,4,Daylight,Clear,1,0,2015-04-05 14:37:00+00:00,0,35.09723056,-82.95156667
